INSERT_UPDATE brandNameEnum;code[unique=true];name[lang=en]
;Coreproductbrandname3m;3M;
;Coreproductbrandnameablockmarketing;A Block Marketing;
;Coreproductbrandnamea-gsod;A-G Sod;
;Coreproductbrandnamea.y.mcdonald;A.Y. McDonald;
;Coreproductbrandnamea&gagriculturalsupply;A&G Agricultural Supply;
;Coreproductbrandnameaathreadsealtape;AA Thread Seal Tape;
;Coreproductbrandnameacclima;Acclima;
;Coreproductbrandnameaccordindustries;Accord Industries;
;Coreproductbrandnameacepump&supply;Ace Pump & Supply;
;Coreproductbrandnameacfenvironmental;ACF Environmental;
;Coreproductbrandnameacfwest;ACF West;
;Coreproductbrandnameackerstone;Ackerstone;
;Coreproductbrandnameacme;ACME;
;Coreproductbrandnameacmebag;ACME Bag;
;Coreproductbrandnameactionmachining;Action Machining;
;Coreproductbrandnameactionplastics;Action Plastics;
;Coreproductbrandnameadams;Adams;
;Coreproductbrandnameads;ADS;
;Coreproductbrandnameadvantageproducts;Advantage Products;
;Coreproductbrandnameaffiliatedresources;Affiliated Resources;
;Coreproductbrandnameagdist&adi;AG Dist & ADI;
;Coreproductbrandnameagplus;Agplus;
;Coreproductbrandnameagridraincorporation;Agri Drain Corporation;
;Coreproductbrandnameagri-fab;Agri-Fab;
;Coreproductbrandnameagrolandscape;AGRO Landscape;
;Coreproductbrandnamealaddinequipment;Aladdin Equipment;
;Coreproductbrandnamealbaugh;Albaugh;
;Coreproductbrandnameallspecenclosures;All Spec Enclosures;
;Coreproductbrandnameallenspecialproducts;Allen Special Products;
;Coreproductbrandnamealliance;Alliance;
;Coreproductbrandnamealliancedesigner;Alliance Designer;
;Coreproductbrandnameallianceseed;Alliance Seed;
;Coreproductbrandnamealliedmolded;Allied Molded;
;Coreproductbrandnamealphaomegaprofileextrusions;Alpha Omega Profile Extrusions;
;Coreproductbrandnamealphasod;Alpha Sod;
;Coreproductbrandnamealsasales&services;Alsa Sales & Services;
;Coreproductbrandnameambisonicsystems;Ambisonic Systems;
;Coreproductbrandnameamcor;Amcor;
;Coreproductbrandnameamericawestenvironmental;America West Environmental;
;Coreproductbrandnameamericanbio-systems;American Bio-Systems;
;Coreproductbrandnameamericanexcelsior;American Excelsior;
;Coreproductbrandnameamericangranby;American Granby;
;Coreproductbrandnameamericanrocksalt;American Rock Salt;
;Coreproductbrandnameamericanstone;American Stone;
;Coreproductbrandnameamesfire&waterworks;Ames Fire & Waterworks;
;Coreproductbrandnameamestruetemper;Ames True Temper;
;Coreproductbrandnameamiadfiltrationsystems;Amiad Filtration Systems;
;Coreproductbrandnameamodio'sgardencenter;Amodio's Garden Center;
;Coreproductbrandnameamvac;AMVAC;
;Coreproductbrandnamean-wil;An-Wil;
;Coreproductbrandnameandersons;Andersons;
;Coreproductbrandnameanstar;Anstar;
;Coreproductbrandnameantelco;Antelco;
;Coreproductbrandnameapf;APF;
